,,,,,INFORMACIÓN DEL CLIENTE,,,,,,,,,,,,,
ESTADO DE LA OPERACIÓN,,,,,,,Permanencia,,,,,,,,,,,
Identificación,,Días de,Estado de,,Actividad,Saldo de la,en la,Número de,Monto del,Tasa de,Ingreso,,Frecuencia,Dependencia,Tipo de,Profesión del,Bienes,
del crédito,Saldo vigente,atraso,crédito,,económica,cuota,vivienda,cuotas,crédito,interés,mensual,Sexo,de pago,ocupacional,cuota,cliente,raíces,Automóviles
148,"5316,07 ",0,0,,6,81.48,240,18,8000,31,"334,08",1,1,2,2,4,0,0
149,"247,07 ",0,0,,10,52.83,60,36,1300,25,"241,47",1,1,1,2,3,0,0
150,"2682,90 ",0,0,,10,82.03,36,36,15000,"15,32","247,54",1,1,1,2,3,0,0
151,"11820,51 ",0,0,,8,158.04,12,48,36500,"14,77","396,14",1,1,2,2,5,0,1
152,"33516,03 ",292,1,,8,218.59,60,36,40000,20,"749,00",1,1,2,2,5,0,1
153,"15000,00 ",0,0,,3,114.12,192,24,15000,22,"859,01",2,1,2,2,4,0,0
154,"11789,70 ",0,0,,8,142.97,12,48,29000,"25,5","362,00",2,1,2,2,4,0,1
155,"11789,70 ",0,0,,8,142.97,12,48,29000,"25,5","997,82",2,1,2,2,4,0,0
156,"29986,58 ",0,0,,8,229.05,60,36,42000,"19,5","848,00",1,1,2,2,5,0,1
157,"29986,58 ",0,0,,8,229.05,60,36,42000,"19,5","413,00",1,1,1,2,5,0,1
158,"1669,40 ",0,0,,10,43.82,48,14,3500,28,"154,60",1,1,1,2,3,0,0
159,"1669,40 ",0,0,,10,43.82,57,14,3500,28,"193,39",1,1,1,2,3,0,0
160,"1669,40 ",0,0,,10,43.82,372,14,3500,28,"194,12",1,1,1,2,3,0,0
161,"7678,67 ",0,0,,10,63.8,60,36,10000,32,"603,00",2,1,1,2,3,0,0
162,"23903,72 ",0,0,,10,169.52,240,60,48000,"13,43","625,00",1,1,2,2,4,0,1
163,"61085,49 ",0,0,,10,266.55,156,60,69700,19,"514,67",2,1,2,2,3,0,1
164,"8782,17 ",690,1,,10,0,108,30,24000,"19,86","437,00",1,1,1,2,2,0,0
165,"107000,00 ",0,0,,6,449.79,276,48,107000,"16,5","1158,31",2,1,2,2,4,0,0
166,"27096,33 ",0,0,,6,126.42,288,60,28000,"27,5","526,70",1,1,2,2,4,0,0
167,"52500,00 ",0,0,,6,204.85,323,60,52500,20,"521,94",1,1,1,2,3,0,1
168,"52500,00 ",0,0,,6,204.85,300,60,52500,20,"221,63",1,1,1,2,3,0,0
169,"305,62 ",0,0,,10,54.11,36,36,1428,"14,2","377,00",1,1,1,2,3,0,0
170,"8804,60 ",0,0,,6,83.07,60,36,14000,26,"748,18",2,1,2,2,4,0,1
171,"20967,48 ",0,0,,3,100.45,60,45,23494,"21,6","393,72",1,1,2,2,4,0,0
